"TABLE_NAME","TABLESPACE_NAME","CLUSTER_NAME","IOT_NAME","STATUS","PCT_FREE","PCT_USED","INI_TRANS","MAX_TRANS","INITIAL_EXTENT","NEXT_EXTENT","MIN_EXTENTS","MAX_EXTENTS","PCT_INCREASE","FREELISTS","FREELIST_GROUPS","LOGGING","BACKED_UP","NUM_ROWS","BLOCKS","EMPTY_BLOCKS","AVG_SPACE","CHAIN_CNT","AVG_ROW_LEN","AVG_SPACE_FREELIST_BLOCKS","NUM_FREELIST_BLOCKS","DEGREE","INSTANCES","CACHE","TABLE_LOCK","SAMPLE_SIZE","LAST_ANALYZED","PARTITIONED","IOT_TYPE","TEMPORARY","SECONDARY","NESTED","BUFFER_POOL","FLASH_CACHE","CELL_FLASH_CACHE","ROW_MOVEMENT","GLOBAL_STATS","USER_STATS","DURATION","SKIP_CORRUPT","MONITORING","CLUSTER_OWNER","DEPENDENCIES","COMPRESSION","COMPRESS_FOR","DROPPED","READ_ONLY","SEGMENT_CREATED","RESULT_CACHE","CLUSTERING","ACTIVITY_TRACKING","DML_TIMESTAMP","HAS_IDENTITY","CONTAINER_DATA","INMEMORY","INMEMORY_PRIORITY","INMEMORY_DISTRIBUTE","INMEMORY_COMPRESSION","INMEMORY_DUPLICATE","DEFAULT_COLLATION","DUPLICATED","SHARDED","EXTERNAL","CELLMEMORY","CONTAINERS_DEFAULT","CONTAINER_MAP","EXTENDED_DATA_LINK","EXTENDED_DATA_LINK_MAP","INMEMORY_SERVICE","INMEMORY_SERVICE_NAME","CONTAINER_MAP_OBJECT","OWNER","CONSTRAINT_NAME","CONSTRAINT_TYPE","TABLE_NAME_1","SEARCH_CONDITION","SEARCH_CONDITION_VC","R_OWNER","R_CONSTRAINT_NAME","DELETE_RULE","STATUS_1","DEFERRABLE","DEFERRED","VALIDATED","GENERATED","BAD","RELY","LAST_CHANGE","INDEX_OWNER","INDEX_NAME","INVALID","VIEW_RELATED","ORIGIN_CON_ID"
"MEDICAMENTO","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","PK_MEDICAMENTO","P","MEDICAMENTO","","","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"USER70","PK_MEDICAMENTO","","",1
"MEDICAMENTO","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","FK_PRODUCTO","R","MEDICAMENTO","","","USER70","PK_PRODUCTO","NO ACTION","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"","","","",1
"COMPUESTOS","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","FK_MEDICAMENTO","R","COMPUESTOS","","","USER70","PK_MEDICAMENTO","NO ACTION","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"","","","",1
"LOTE","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","FK_COD_BARR","R","LOTE","","","USER70","PK_PRODUCTO","NO ACTION","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"","","","",1
"PRODUCTO","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","PK_PRODUCTO","P","PRODUCTO","","","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"USER70","PK_PRODUCTO","","",1
"LOTE","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","PK_LOTE","P","LOTE","","","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"USER70","PK_LOTE","","",1
"TIPO_DEPARTAMENTO","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","PK_TIPO_DEP","P","TIPO_DEPARTAMENTO","","","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"USER70","PK_TIPO_DEP","","",1
"SUCURSAL","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","YES","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","PK_SUCURSAL","P","SUCURSAL","","","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"USER70","PK_SUCURSAL","","",1
"TELEFONO_SUCURSAL","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","FK_SUCURSAL","R","TELEFONO_SUCURSAL","","","USER70","PK_SUCURSAL","NO ACTION","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"","","","",1
"TENER_DEPARTAMENTO","EQUIPOP8","","","VALID",10,,1,255,,,,,,,,"YES","N",0,0,0,0,0,0,0,0,"         1","         1","    N","ENABLED",0,20/05/19,"NO","","N","N","NO","DEFAULT","DEFAULT","DEFAULT","DISABLED","YES","NO","","DISABLED","YES","","DISABLED","DISABLED","","NO","NO","NO","DEFAULT","NO","","","NO","NO","DISABLED","","","","","USING_NLS_COMP","N","N","NO","","NO","NO","NO","NO","","","NO","USER70","CK_TENER_DEPARTAMENTO","U","TENER_DEPARTAMENTO","","","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","USER NAME","","",16/04/19,"USER70","CK_TENER_DEPARTAMENTO","","",1
